Epoch	Natural Test Acc	PGD20 Acc	
1.000000	0.333550	0.323450	
2.000000	0.314200	0.290250	
3.000000	0.426100	0.319550	
4.000000	0.406250	0.341850
5.000000	0.443650	0.357600	
6.000000	0.373650	0.343950	
7.000000	0.466650	0.368800
8.000000	0.466150	0.367450	
9.000000	0.478800	0.374350
10.000000	0.475700	0.379200
11.000000	0.474500	0.370500	
12.000000	0.480650	0.384050	
13.000000	0.451250	0.347800	
14.000000	0.475150	0.378000	
15.000000	0.478600	0.371000	
16.000000	0.478950	0.381500	
17.000000	0.443450	0.365900	
18.000000	0.484650	0.386550	
19.000000	0.472350	0.382200	
20.000000	0.481050	0.382700	
21.000000	0.490400	0.379150	
22.000000	0.400250	0.352250	
23.000000	0.494000	0.382550	
24.000000	0.449650	0.368700	
25.000000	0.492950	0.387500	
26.000000	0.477600	0.379250	
27.000000	0.495800	0.385450	
28.000000	0.496900	0.389850	
29.000000	0.499150	0.383700	
30.000000	0.489900	0.383250	
31.000000	0.489150	0.378300	
32.000000	0.505950	0.372350	
33.000000	0.487450	0.380350	
34.000000	0.506250	0.390500	
35.000000	0.489250	0.388100	
36.000000	0.489250	0.387000	
37.000000	0.507000	0.386750	
38.000000	0.494450	0.374300	
39.000000	0.495250	0.383800	
40.000000	0.507200	0.378250	
41.000000	0.497500	0.382500	
42.000000	0.502550	0.383150	
43.000000	0.496350	0.376950	
44.000000	0.496150	0.392850	
45.000000	0.516800	0.368100	
46.000000	0.487550	0.385600	
47.000000	0.498400	0.393050	
48.000000	0.493700	0.387300	
49.000000	0.478650	0.378800	
50.000000	0.474150	0.381300	
51.000000	0.505300	0.392950	
52.000000	0.497000	0.388900	
53.000000	0.472950	0.373150	
54.000000	0.497650	0.389750	
55.000000	0.481550	0.389750	
56.000000	0.496050	0.394000	
57.000000	0.486700	0.381000	
58.000000	0.484500	0.388850	
59.000000	0.506200	0.396250	
60.000000	0.500150	0.426850	
61.000000	0.519750	0.429200	
62.000000	0.517000	0.451150	
63.000000	0.475100	0.433750	
64.000000	0.463900	0.440000	
65.000000	0.500550	0.445700	
66.000000	0.404600	0.389450	
67.000000	0.413300	0.386850	
68.000000	0.468300	0.399950	
69.000000	0.489250	0.452750	
70.000000	0.455750	0.435200	
71.000000	0.501150	0.448050	
72.000000	0.503000	0.465550	
73.000000	0.455550	0.440900	
74.000000	0.442700	0.420800	
75.000000	0.483900	0.445450	
76.000000	0.439150	0.416000	
77.000000	0.471300	0.429400	
78.000000	0.483550	0.436800	
79.000000	0.430250	0.400150	
80.000000	0.410750	0.388450	
81.000000	0.451400	0.398450	
82.000000	0.469100	0.437000	
83.000000	0.501850	0.445000	
84.000000	0.505300	0.439250	
85.000000	0.421150	0.389000	
86.000000	0.456550	0.449900	
87.000000	0.491700	0.455900	
88.000000	0.474750	0.455850	
89.000000	0.477400	0.443150	
90.000000	0.515700	0.466400	
91.000000	0.491800	0.455450	
92.000000	0.514050	0.468000	
93.000000	0.513650	0.460600	
94.000000	0.411300	0.409800	
95.000000	0.486550	0.448650	
96.000000	0.487550	0.444250	
97.000000	0.486600	0.448600	
98.000000	0.511200	0.467500	
99.000000	0.508500	0.465800	
100.000000	0.493300	0.437050	
101.000000	0.499200	0.444750	
102.000000	0.515650	0.463500	
103.000000	0.469450	0.445550	
104.000000	0.494950	0.469450	
105.000000	0.502250	0.464550	
106.000000	0.510350	0.470750	
107.000000	0.497650	0.451350	
108.000000	0.470000	0.436300	
109.000000	0.471200	0.454950	
110.000000	0.474850	0.442900	
111.000000	0.490200	0.455400	
112.000000	0.488950	0.454150	
113.000000	0.483750	0.460350	
114.000000	0.497150	0.462900	
115.000000	0.505050	0.459900	
116.000000	0.504750	0.470050	
117.000000	0.495050	0.464900	
118.000000	0.458400	0.425600	
119.000000	0.517350	0.465450	
120.000000	0.475450	0.443150	
